# bin_edges hist err
5.945570708544394139e-07 3.948616708839138028e+02 1.974308354419569014e+02
1.077105056036769012e-06 5.449045966260302976e+02 1.723139632833557471e+02
1.951293422635962419e-06 2.406278786265628753e+02 8.507480235968805005e+01
3.534981105030109478e-06 5.146987731476377803e+02 9.244262860399199155e+01
6.404004271197283230e-06 5.040685626925953216e+02 6.796859112787838342e+01
1.160155301739971416e-05 3.541281470181867803e+02 4.232640926867130560e+01
2.101748011332487198e-05 4.412197841091933697e+02 3.510156131705117843e+01
3.807546021222368024e-05 3.946147732947367217e+02 2.466342333092104511e+01
6.897785379387658198e-05 3.871508839866699532e+02 1.814991338771814355e+01
1.249609141291986841e-04 4.438499251258108984e+02 1.443843914361599445e+01
2.263803409521446481e-04 3.891531216518808378e+02 1.004454277213593194e+01
4.101127070551300138e-04 3.308743795550836353e+02 6.881279926596800323e+00
7.429639507594950265e-04 1.741094662864656755e+02 3.708656319023190040e+00
1.345960324155364221e-03 9.004639569692692191e+01 1.981555797644973360e+00
2.438354098268826452e-03 5.167896487987880505e+01 1.115315618661150365e+00
4.417344703140064534e-03 2.919088772897874762e+01 6.227765827405055132e-01
8.002502278161051363e-03 1.369295079338406751e+01 3.169019331903720760e-01
1.449740670372631594e-02 5.797372837554795488e+00 1.532003376238360581e-01
2.626363527653330018e-02 1.669338075091859386e+00 6.107788616169069346e-02
4.757944314009413672e-02 5.402979150631913585e-01 2.581643299098762556e-02
8.619535664753032178e-02 3.969750570392557854e-01 1.644102699438365622e-02
1.561523006000496427e-01 1.744006621332426787e-01 8.096347483283566210e-03
2.828869434625966850e-01 1.078869650991197693e-01 4.731156395944028682e-03
5.124805876960926154e-01 5.245254857647069918e-02 2.450946636549199056e-03
9.284145445194744717e-01 3.540174157621751253e-03 4.730756709761300646e-04
5.519954321281573151e+00 9.569418798244279920e-05 3.189806266081426640e-05
