# atom_type event_id atom_id barrier
1.000000000000000000e+00 9.972800000000000000e+05 2.260000000000000000e+02 3.880385399999999874e-01
1.000000000000000000e+00 9.974650000000000000e+05 2.120000000000000000e+02 1.394211800000000057e-01
1.000000000000000000e+00 5.878200000000000000e+05 2.320000000000000000e+02 3.959704499999999738e-01
1.000000000000000000e+00 1.992500000000000000e+04 2.090000000000000000e+02 1.327908499999999881e-01
1.000000000000000000e+00 6.234160000000000000e+05 1.720000000000000000e+02 5.421945400000000026e-01
1.000000000000000000e+00 5.847580000000000000e+05 2.270000000000000000e+02 5.522918900000000075e-01
1.000000000000000000e+00 2.602530000000000000e+05 1.720000000000000000e+02 8.790504399999999885e-01
1.000000000000000000e+00 1.028900000000000000e+06 1.690000000000000000e+02 2.238595499999999905e-01
1.000000000000000000e+00 1.276324000000000000e+06 4.600000000000000000e+01 1.325572499999999876e-01
2.000000000000000000e+00 1.200317000000000000e+06 2.600000000000000000e+02 1.487641500000000117e-01
1.000000000000000000e+00 1.024472000000000000e+06 4.600000000000000000e+01 1.338818200000000125e-01
2.000000000000000000e+00 3.530610000000000000e+05 2.600000000000000000e+02 2.970072400000000057e-01
1.000000000000000000e+00 1.068260000000000000e+06 2.320000000000000000e+02 6.793380300000000371e-01
2.000000000000000000e+00 6.822840000000000000e+05 2.600000000000000000e+02 7.039936100000000474e-01
1.000000000000000000e+00 1.110000000000000000e+05 2.260000000000000000e+02 6.138246899999999506e-01
1.000000000000000000e+00 7.170450000000000000e+05 2.260000000000000000e+02 2.182486200000000043e-01
1.000000000000000000e+00 2.701680000000000000e+05 2.260000000000000000e+02 5.101646699999999868e-01
2.000000000000000000e+00 1.066180000000000000e+06 2.680000000000000000e+02 7.198892999999999542e-01
1.000000000000000000e+00 7.324300000000000000e+04 2.260000000000000000e+02 7.591019500000000253e-01
2.000000000000000000e+00 3.164090000000000000e+05 2.680000000000000000e+02 3.258585199999999849e-01
1.000000000000000000e+00 1.147044000000000000e+06 2.090000000000000000e+02 2.698516799999999827e-01
1.000000000000000000e+00 1.298585000000000000e+06 2.100000000000000000e+02 4.912940000000000189e-03
1.000000000000000000e+00 7.832930000000000000e+05 2.090000000000000000e+02 5.434545200000000520e-01
1.000000000000000000e+00 4.464380000000000000e+05 2.260000000000000000e+02 5.657731299999999575e-01
1.000000000000000000e+00 6.375270000000000000e+05 2.090000000000000000e+02 6.462258699999999800e-01
1.000000000000000000e+00 1.166700000000000000e+06 2.260000000000000000e+02 6.685370600000000163e-01
1.000000000000000000e+00 1.557690000000000000e+05 2.260000000000000000e+02 6.065593999999999847e-02
1.000000000000000000e+00 7.340470000000000000e+05 2.260000000000000000e+02 1.468471500000000096e-01
1.000000000000000000e+00 3.644830000000000000e+05 1.700000000000000000e+02 4.336365799999999937e-01
2.000000000000000000e+00 1.237347000000000000e+06 2.680000000000000000e+02 4.827252499999999946e-01
1.000000000000000000e+00 2.256340000000000000e+05 1.700000000000000000e+02 4.991064299999999898e-01
1.000000000000000000e+00 1.088083000000000000e+06 2.270000000000000000e+02 3.265085500000000085e-01
2.000000000000000000e+00 1.119100000000000000e+04 2.690000000000000000e+02 7.211697299999999533e-01
2.000000000000000000e+00 1.927280000000000000e+05 2.660000000000000000e+02 1.070459099999999941e-01
1.000000000000000000e+00 1.121039000000000000e+06 4.200000000000000000e+01 6.126023099999999832e-01
1.000000000000000000e+00 7.992230000000000000e+05 4.200000000000000000e+01 2.770002599999999982e-01
1.000000000000000000e+00 1.288988000000000000e+06 4.200000000000000000e+01 1.014129819999999960e+00
1.000000000000000000e+00 8.505340000000000000e+05 3.100000000000000000e+01 3.397909399999999858e-01
1.000000000000000000e+00 1.034971000000000000e+06 1.560000000000000000e+02 7.896820100000000453e-01
1.000000000000000000e+00 4.344300000000000000e+05 4.600000000000000000e+01 3.556015399999999937e-01
1.000000000000000000e+00 8.359900000000000000e+04 3.200000000000000000e+01 2.112914899999999985e-01
1.000000000000000000e+00 1.288096000000000000e+06 3.200000000000000000e+01 1.998385400000000089e-01
1.000000000000000000e+00 7.547000000000000000e+03 4.200000000000000000e+01 6.503161299999999923e-01
1.000000000000000000e+00 1.253573000000000000e+06 4.800000000000000000e+01 2.970987900000000015e-01
1.000000000000000000e+00 1.257980000000000000e+05 1.560000000000000000e+02 4.953435999999999950e-01
1.000000000000000000e+00 6.320420000000000000e+05 4.600000000000000000e+01 2.435863500000000070e-01
1.000000000000000000e+00 9.337470000000000000e+05 4.200000000000000000e+01 7.541045499999999846e-01
2.000000000000000000e+00 2.411450000000000000e+05 2.570000000000000000e+02 1.214782100000000031e-01
1.000000000000000000e+00 1.052109000000000000e+06 2.320000000000000000e+02 5.264174099999999745e-01
2.000000000000000000e+00 1.029970000000000000e+06 2.680000000000000000e+02 1.308096099999999928e-01
1.000000000000000000e+00 3.023490000000000000e+05 2.260000000000000000e+02 3.338129599999999919e-01
2.000000000000000000e+00 5.439640000000000000e+05 2.600000000000000000e+02 3.537517999999999913e-02
2.000000000000000000e+00 4.663260000000000000e+05 2.690000000000000000e+02 7.487672600000000456e-01
1.000000000000000000e+00 4.626710000000000000e+05 2.250000000000000000e+02 1.444902499999999868e-01
1.000000000000000000e+00 3.349050000000000000e+05 2.090000000000000000e+02 1.017664600000000030e+00
2.000000000000000000e+00 9.490540000000000000e+05 2.640000000000000000e+02 5.489313999999999583e-01
1.000000000000000000e+00 5.572790000000000000e+05 2.090000000000000000e+02 6.157564800000000504e-01
1.000000000000000000e+00 2.871470000000000000e+05 2.260000000000000000e+02 2.988181599999999993e-01
1.000000000000000000e+00 1.275252000000000000e+06 1.700000000000000000e+02 9.459751199999999471e-01
2.000000000000000000e+00 4.967700000000000000e+04 2.610000000000000000e+02 1.398686000000000096e-01
1.000000000000000000e+00 1.964920000000000000e+05 1.700000000000000000e+02 1.225703509999999996e+00
1.000000000000000000e+00 4.175040000000000000e+05 1.550000000000000000e+02 3.562639400000000012e-01
2.000000000000000000e+00 6.071620000000000000e+05 2.600000000000000000e+02 2.282591900000000007e-01
1.000000000000000000e+00 9.881450000000000000e+05 4.600000000000000000e+01 1.082566999999999974e-01
1.000000000000000000e+00 1.070722000000000000e+06 4.200000000000000000e+01 7.621393499999999932e-01
1.000000000000000000e+00 6.172500000000000000e+04 1.010000000000000000e+02 7.251538600000000390e-01
1.000000000000000000e+00 9.479200000000000000e+05 1.560000000000000000e+02 6.166570799999999686e-01
1.000000000000000000e+00 7.665600000000000000e+05 4.600000000000000000e+01 2.178614500000000120e-01
1.000000000000000000e+00 7.635860000000000000e+05 1.560000000000000000e+02 9.782629699999999540e-01
1.000000000000000000e+00 9.712500000000000000e+04 4.600000000000000000e+01 3.245138900000000270e-01
2.000000000000000000e+00 1.085375000000000000e+06 2.600000000000000000e+02 1.558793400000000051e-01
1.000000000000000000e+00 8.808130000000000000e+05 1.720000000000000000e+02 5.334207800000000388e-01
1.000000000000000000e+00 1.289008000000000000e+06 2.090000000000000000e+02 2.921237799999999996e-01
1.000000000000000000e+00 2.201850000000000000e+05 8.600000000000000000e+01 2.253692300000000037e-01
1.000000000000000000e+00 5.977010000000000000e+05 1.690000000000000000e+02 8.141106000000000176e-01
1.000000000000000000e+00 1.117469000000000000e+06 1.550000000000000000e+02 5.688357299999999839e-01
1.000000000000000000e+00 8.573030000000000000e+05 1.690000000000000000e+02 5.167675499999999644e-01
2.000000000000000000e+00 2.965490000000000000e+05 2.620000000000000000e+02 1.877221799999999885e-01
1.000000000000000000e+00 4.245390000000000000e+05 2.250000000000000000e+02 1.224059599999999942e-01
1.000000000000000000e+00 1.877880000000000000e+05 2.250000000000000000e+02 4.251491000000000298e-02
1.000000000000000000e+00 4.821750000000000000e+05 1.690000000000000000e+02 1.182465569999999966e+00
1.000000000000000000e+00 1.058119000000000000e+06 2.250000000000000000e+02 8.641491500000000325e-01
2.000000000000000000e+00 7.100110000000000000e+05 2.680000000000000000e+02 4.973301000000000111e-02
1.000000000000000000e+00 3.872080000000000000e+05 2.250000000000000000e+02 1.334043500000000049e-01
2.000000000000000000e+00 1.203231000000000000e+06 2.600000000000000000e+02 2.681313000000000168e-01
2.000000000000000000e+00 4.119960000000000000e+05 2.600000000000000000e+02 8.037408000000000052e-02
1.000000000000000000e+00 3.529810000000000000e+05 2.320000000000000000e+02 4.491868299999999814e-01
1.000000000000000000e+00 1.246583000000000000e+06 2.260000000000000000e+02 1.547339500000000090e-01
2.000000000000000000e+00 3.226250000000000000e+05 2.600000000000000000e+02 7.439812599999999776e-01
2.000000000000000000e+00 3.407300000000000000e+04 2.600000000000000000e+02 8.606822200000000533e-01
2.000000000000000000e+00 8.258600000000000000e+04 2.600000000000000000e+02 2.660181500000000088e-01
2.000000000000000000e+00 1.138940000000000000e+05 2.600000000000000000e+02 4.810500000000000193e-02
1.000000000000000000e+00 1.132029000000000000e+06 2.120000000000000000e+02 3.264949100000000271e-01
1.000000000000000000e+00 6.057530000000000000e+05 2.120000000000000000e+02 7.364439999999999875e-03
