# bin_edges hist err
3.300034791125281949e-06 4.757487060437704827e+02 3.364051361842755341e+02
6.528521141127846680e-05 1.683369132897130100e+02 4.498993250551279743e+01
1.185971012337669371e-04 9.928492763174769209e+01 2.563525808314449250e+01
2.154434690031882321e-04 8.015958979612643986e+01 1.709008196730603757e+01
3.913745601980383993e-04 5.415484413005422226e+01 1.042210461213634254e+01
7.109709432312431160e-04 4.747694245393770274e+01 7.240165847988843772e+00
1.291549665014882697e-03 5.470128605481337303e+01 5.766021829120547615e+00
2.346228848142262267e-03 3.914548065364253659e+01 3.619000966651070517e+00
4.262158829015320199e-03 4.475512583842602510e+01 2.871042661158982323e+00
7.742636826811269413e-03 3.061851987264184061e+01 1.761897832120900453e+00
1.406527242105236331e-02 1.305971946145909435e+01 8.537405689234278672e-01
2.555097090352506997e-02 5.745136315971620888e+00 4.201259760721379743e-01
4.641588833612772524e-02 2.181670615486542175e+00 1.920853870709107736e-01
8.431909292866250627e-02 6.609955891039661635e-01 7.844574412956278886e-02
1.531740463702079835e-01 2.049939032076968648e-01 3.241238202922094164e-02
2.782559402207120391e-01 3.667457134412938080e-02 1.017169596053236688e-02
5.054796821191235301e-01 9.317806455812920052e-03 3.803978556458771382e-03
