# atom_type event_id atom_id barrier
2.000000000000000000e+00 3.784980000000000000e+05 2.650000000000000000e+02 5.935078700000000484e-01
1.000000000000000000e+00 4.959840000000000000e+05 2.900000000000000000e+01 2.338992000000000016e-01
2.000000000000000000e+00 8.176050000000000000e+05 2.650000000000000000e+02 1.868436300000000105e-01
1.000000000000000000e+00 9.967350000000000000e+05 1.100000000000000000e+01 5.310462999999999989e-02
1.000000000000000000e+00 9.911380000000000000e+05 7.400000000000000000e+01 1.319499100000000036e-01
1.000000000000000000e+00 9.911390000000000000e+05 1.280000000000000000e+02 6.301990000000000369e-02
1.000000000000000000e+00 1.288320000000000000e+06 7.400000000000000000e+01 1.176667599999999952e-01
1.000000000000000000e+00 5.095340000000000000e+05 1.230000000000000000e+02 3.704543399999999931e-01
1.000000000000000000e+00 8.820620000000000000e+05 7.400000000000000000e+01 8.465899000000000341e-02
2.000000000000000000e+00 1.489810000000000000e+05 2.600000000000000000e+02 3.746894800000000192e-01
2.000000000000000000e+00 1.111600000000000000e+04 2.570000000000000000e+02 3.560616699999999968e-01
1.000000000000000000e+00 8.887840000000000000e+05 1.170000000000000000e+02 4.148985800000000168e-01
1.000000000000000000e+00 9.183730000000000000e+05 1.800000000000000000e+01 3.605339399999999972e-01
2.000000000000000000e+00 1.530470000000000000e+05 2.650000000000000000e+02 1.251066399999999912e-01
2.000000000000000000e+00 1.044830000000000000e+06 2.600000000000000000e+02 4.255863899999999811e-01
2.000000000000000000e+00 1.105521000000000000e+06 2.610000000000000000e+02 1.951141000000000125e-01
2.000000000000000000e+00 3.489500000000000000e+04 2.610000000000000000e+02 6.051158999999999705e-02
2.000000000000000000e+00 1.114670000000000000e+06 2.610000000000000000e+02 1.903752300000000064e-01
2.000000000000000000e+00 1.242234000000000000e+06 2.610000000000000000e+02 8.055157600000000251e-01
2.000000000000000000e+00 2.946600000000000000e+05 2.650000000000000000e+02 3.967622900000000175e-01
2.000000000000000000e+00 1.052439000000000000e+06 2.620000000000000000e+02 3.648750099999999996e-01
1.000000000000000000e+00 4.415820000000000000e+05 2.400000000000000000e+01 1.402683500000000139e-01
2.000000000000000000e+00 5.764040000000000000e+05 2.590000000000000000e+02 5.369074000000000069e-02
1.000000000000000000e+00 3.357440000000000000e+05 8.300000000000000000e+01 1.167225199999999963e-01
2.000000000000000000e+00 7.517580000000000000e+05 2.610000000000000000e+02 6.712448199999999643e-01
2.000000000000000000e+00 1.524000000000000000e+05 2.650000000000000000e+02 5.284757199999999822e-01
1.000000000000000000e+00 7.643850000000000000e+05 1.230000000000000000e+02 3.948012900000000269e-01
2.000000000000000000e+00 5.869880000000000000e+05 2.650000000000000000e+02 2.622321000000000235e-01
2.000000000000000000e+00 5.215080000000000000e+05 2.610000000000000000e+02 1.786958600000000119e-01
1.000000000000000000e+00 4.801030000000000000e+05 8.300000000000000000e+01 1.153738200000000019e-01
1.000000000000000000e+00 4.213610000000000000e+05 2.600000000000000000e+01 4.725134000000000278e-02
2.000000000000000000e+00 4.922800000000000000e+05 2.620000000000000000e+02 5.773589099999999474e-01
2.000000000000000000e+00 1.105090000000000000e+06 2.650000000000000000e+02 3.478325500000000181e-01
1.000000000000000000e+00 6.758600000000000000e+04 1.800000000000000000e+01 5.674138300000000079e-01
1.000000000000000000e+00 6.758700000000000000e+04 1.800000000000000000e+01 6.584765200000000096e-01
1.000000000000000000e+00 5.197300000000000000e+04 1.830000000000000000e+02 1.017448999999999992e-01
2.000000000000000000e+00 1.180258000000000000e+06 2.630000000000000000e+02 6.602736599999999845e-01
2.000000000000000000e+00 7.073240000000000000e+05 2.650000000000000000e+02 3.408166100000000198e-01
2.000000000000000000e+00 1.079117000000000000e+06 2.610000000000000000e+02 4.783279500000000017e-01
1.000000000000000000e+00 3.139300000000000000e+05 2.060000000000000000e+02 1.015005199999999969e-01
1.000000000000000000e+00 2.340500000000000000e+04 2.060000000000000000e+02 9.611081999999999959e-02
2.000000000000000000e+00 9.540860000000000000e+05 2.580000000000000000e+02 7.837779700000000460e-01
1.000000000000000000e+00 5.624770000000000000e+05 1.000000000000000000e+00 1.317040700000000064e-01
2.000000000000000000e+00 2.062310000000000000e+05 2.630000000000000000e+02 9.404140500000000014e-01
2.000000000000000000e+00 8.617000000000000000e+05 2.630000000000000000e+02 7.011378999999999528e-02
1.000000000000000000e+00 1.127773000000000000e+06 1.830000000000000000e+02 3.083743800000000035e-01
1.000000000000000000e+00 8.106620000000000000e+05 1.830000000000000000e+02 1.133920100000000014e-01
2.000000000000000000e+00 4.999900000000000000e+04 2.620000000000000000e+02 8.744444799999999685e-01
2.000000000000000000e+00 1.120393000000000000e+06 2.620000000000000000e+02 3.853709100000000110e-01
2.000000000000000000e+00 8.378140000000000000e+05 2.610000000000000000e+02 8.794905699999999715e-01
1.000000000000000000e+00 7.055570000000000000e+05 2.600000000000000000e+01 3.446745999999999976e-01
1.000000000000000000e+00 1.928570000000000000e+05 1.100000000000000000e+01 4.143587000000000242e-01
