# bin_edges hist err
1.823348000868442370e-06 4.216785845910261514e+02 2.434562443251293473e+02
3.324597932270938332e-06 2.312661019126265671e+02 1.335215461936903694e+02
6.061898993497572126e-06 3.382292380865336554e+02 1.195820939232736180e+02
1.105295141126022030e-05 2.550611304849528551e+02 7.690382440204254522e+01
2.015337685941735182e-05 3.942246022784659658e+02 7.080482875860909076e+01
3.674661940736687922e-05 3.138520563073637959e+02 4.678630218542379993e+01
6.700187503509590005e-05 5.163886260185328183e+02 4.444365663868239125e+01
1.221677348996791812e-04 2.706219658467226736e+02 2.382693551013689870e+01
2.227542951999556280e-04 3.048945370297194017e+02 1.872952252467049306e+01
4.061585988376979588e-04 2.662849703791001730e+02 1.296254954240609081e+01
7.405684692262435144e-04 1.747656258974197669e+02 7.776968280396342692e+00
1.350314037869872197e-03 1.315310563279850271e+02 4.996451667160760834e+00
2.462092401494625667e-03 7.067979519514267395e+01 2.712441592817025349e+00
4.489251258218603276e-03 3.476748176470292861e+01 1.408849457951661499e+00
8.185467307069028281e-03 1.114644495482999886e+01 5.907604010863692912e-01
1.492495545051829124e-02 5.185895431875616524e+00 2.984147488850827368e-01
2.721338768375308748e-02 9.700284501545456406e-01 9.557974325896065326e-02
4.961947603002898194e-02 2.737496367969294853e-01 3.760240449117503020e-02
9.047357242349293727e-02 3.852538834393236522e-01 3.303524796525050822e-02
1.649648074098020722e-01 1.134126273952374975e-01 1.327394401686590210e-02
3.007882518043095699e-01 1.457018602881735014e-01 1.114209973477246068e-02
5.484416576121015074e-01 2.803823500828515804e-03 1.144656150975645369e-03
