# bin_edges hist err
5.907837911587943131e-07 1.053007207348056653e+02 6.079539946210166335e+01
1.068000432514575546e-06 1.164980033968534201e+02 4.756011072921872085e+01
1.930697728883249761e-06 7.518347841087090444e+01 2.841668379656543308e+01
3.490254878959579349e-06 1.722977140429912026e+02 3.199488227634623172e+01
6.309573444801929638e-06 1.018826785520185041e+02 1.829866925263210575e+01
1.140624923851320228e-05 8.726438668011570599e+01 1.259552928510809977e+01
2.061986009502219175e-05 1.176626994611238501e+02 1.087792041324592596e+01
3.727593720314938141e-05 2.241894312263283382e+02 1.116767102457415461e+01
6.738627168030941555e-05 2.347965816533089765e+02 8.500206978906165389e+00
1.218187912010114778e-04 1.343078441154869438e+02 4.781485865933476020e+00
2.202201949987373474e-04 1.491546147987392885e+02 3.747650704828856760e+00
3.981071705534969187e-04 1.826209392954174291e+02 3.084214796285053684e+00
7.196856730011514085e-04 1.389962560555777884e+02 2.001241281340593314e+00
1.301025216910830151e-03 1.378219547029713397e+02 1.482127876164232250e+00
2.351952635070956362e-03 9.319338279517619128e+01 9.064577838949536837e-01
4.251786303382886108e-03 4.172900292475121375e+01 4.511309466553386494e-01
7.686246100397729937e-03 2.029893073325366615e+01 2.340177331534524230e-01
1.389495494373135971e-02 4.735344608409575606e+00 8.406525866979878969e-02
2.511886431509577008e-02 1.546238340493646835e+00 3.572790485121426357e-02
4.540909610972469757e-02 2.580145818823340043e-01 1.085475504172157130e-02
8.208914159638244779e-02 5.789853293312482441e-01 1.209372956353940536e-02
1.483981788967562998e-01 2.726260545016504500e-01 6.172182000510879549e-03
2.682695795279722017e-01 4.050405637650903584e-02 1.769427918369166153e-03
4.849693428528190631e-01 7.906081480543256101e-02 1.838623600126338548e-03
8.767123872968668463e-01 3.074856622746142466e-04 8.528117860008652823e-05
9.363292088239397515e+00 1.173777981904742173e-04 1.612308055449894839e-05
