# Barrier Energy Step Time
0.000000000000000000e+00 -6.512340000000000373e+02 0.000000000000000000e+00 0.000000000000000000e+00
5.510000000000000453e-01 -6.505529999999999973e+02 5.000000000000000000e-01 4.973999999999999808e-14
0.000000000000000000e+00 -6.511050000000000182e+02 1.000000000000000000e+00 4.973999999999999808e-14
2.819999999999999729e-01 -6.524769999999999754e+02 1.500000000000000000e+00 2.933000000000000225e-13
0.000000000000000000e+00 -6.527590000000000146e+02 2.000000000000000000e+00 2.933000000000000225e-13
4.540000000000000147e-01 -6.541509999999999536e+02 2.500000000000000000e+00 1.128000000000000040e-12
0.000000000000000000e+00 -6.546050000000000182e+02 3.000000000000000000e+00 1.128000000000000040e-12
1.170000000000000068e-01 -6.561380000000000337e+02 3.500000000000000000e+00 1.205999999999999910e-12
0.000000000000000000e+00 -6.562540000000000191e+02 4.000000000000000000e+00 1.205999999999999910e-12
3.370000000000000218e-01 -6.580349999999999682e+02 4.500000000000000000e+00 1.308000000000000081e-12
0.000000000000000000e+00 -6.583719999999999573e+02 5.000000000000000000e+00 1.308000000000000081e-12
3.360000000000000209e-01 -6.583350000000000364e+02 5.500000000000000000e+00 2.101000000000000034e-12
0.000000000000000000e+00 -6.586710000000000491e+02 6.000000000000000000e+00 2.101000000000000034e-12
5.160000000000000142e-01 -6.580650000000000546e+02 6.500000000000000000e+00 3.185999999999999955e-12
0.000000000000000000e+00 -6.585810000000000173e+02 7.000000000000000000e+00 3.185999999999999955e-12
4.259999999999999898e-01 -6.582450000000000045e+02 7.500000000000000000e+00 3.446000000000000059e-12
0.000000000000000000e+00 -6.586710000000000491e+02 8.000000000000000000e+00 3.446000000000000059e-12
5.180000000000000160e-01 -6.599579999999999700e+02 8.500000000000000000e+00 3.881000000000000124e-12
0.000000000000000000e+00 -6.604759999999999991e+02 9.000000000000000000e+00 3.881000000000000124e-12
5.789999999999999591e-01 -6.617500000000000000e+02 9.500000000000000000e+00 3.169000000000000249e-11
0.000000000000000000e+00 -6.623289999999999509e+02 1.000000000000000000e+01 3.169000000000000249e-11
2.057999999999999829e+00 -6.585589999999999691e+02 1.050000000000000000e+01 1.645999999999999894e-04
0.000000000000000000e+00 -6.606180000000000518e+02 1.100000000000000000e+01 1.645999999999999894e-04
3.780000000000000027e-01 -6.604539999999999509e+02 1.150000000000000000e+01 1.645999999999999894e-04
0.000000000000000000e+00 -6.608319999999999936e+02 1.200000000000000000e+01 1.645999999999999894e-04
5.639999999999999458e-01 -6.600869999999999891e+02 1.250000000000000000e+01 1.645999999999999894e-04
0.000000000000000000e+00 -6.606509999999999536e+02 1.300000000000000000e+01 1.645999999999999894e-04
