# atom_type event_id atom_id barrier
1.000000000000000000e+00 3.350750000000000000e+05 5.000000000000000000e+00 2.660313499999999998e-01
1.000000000000000000e+00 3.570450000000000000e+05 7.400000000000000000e+01 2.752151689999999817e+00
2.000000000000000000e+00 9.050010000000000000e+05 2.570000000000000000e+02 1.712176530000000030e+00
2.000000000000000000e+00 2.330430000000000000e+05 2.570000000000000000e+02 6.798108800000000063e-01
2.000000000000000000e+00 1.283366000000000000e+06 2.610000000000000000e+02 1.172597040000000090e+00
1.000000000000000000e+00 9.213670000000000000e+05 4.900000000000000000e+01 4.548625800000000163e-01
1.000000000000000000e+00 6.299630000000000000e+05 2.500000000000000000e+01 2.452883729999999929e+00
2.000000000000000000e+00 1.099083000000000000e+06 2.620000000000000000e+02 6.051215199999999683e-01
1.000000000000000000e+00 1.216358000000000000e+06 2.500000000000000000e+01 2.403874080000000024e+00
1.000000000000000000e+00 1.216065000000000000e+06 2.500000000000000000e+01 4.150569199999999959e-01
2.000000000000000000e+00 3.406790000000000000e+05 2.580000000000000000e+02 1.686210999999999960e-01
1.000000000000000000e+00 1.399600000000000000e+04 2.100000000000000000e+01 1.184289050000000065e+00
2.000000000000000000e+00 3.021130000000000000e+05 2.610000000000000000e+02 1.798008059999999908e+00
1.000000000000000000e+00 8.074320000000000000e+05 1.240000000000000000e+02 1.688188700000000098e-01
2.000000000000000000e+00 1.143775000000000000e+06 2.640000000000000000e+02 1.644740309999999983e+00
1.000000000000000000e+00 1.053370000000000000e+05 1.830000000000000000e+02 2.709932099999999844e-01
2.000000000000000000e+00 8.253890000000000000e+05 2.600000000000000000e+02 1.140019550000000104e+00
1.000000000000000000e+00 1.193406000000000000e+06 1.840000000000000000e+02 3.720515989999999995e+00
2.000000000000000000e+00 2.050310000000000000e+05 2.580000000000000000e+02 1.628298300000000087e-01
1.000000000000000000e+00 1.891830000000000000e+05 5.100000000000000000e+01 3.557494029999999974e+00
