# bin_edges hist err
1.823348000868442370e-06 1.850310011460067585e+02 1.068276983200729546e+02
3.324597932270938332e-06 2.029574179562847007e+02 8.285701891761297588e+01
6.061898993497572126e-06 3.710343424287228942e+01 2.623608995844415048e+01
1.105295141126022030e-05 1.119198793859436591e+02 3.374511331863700292e+01
2.015337685941735182e-05 1.060226326575727569e+02 2.432326007802603840e+01
3.674661940736687922e-05 1.560794025450009315e+02 2.185548789107554413e+01
6.700187503509590005e-05 1.712008925017738932e+02 1.695141430660451576e+01
1.221677348996791812e-04 1.518868696987920544e+02 1.182437676925084347e+01
2.227542951999556280e-04 1.751847093680617036e+02 9.404407942574179557e+00
4.061585988376979588e-04 1.677914322502398079e+02 6.816061009420078420e+00
7.405684692262435144e-04 1.705325742879722384e+02 5.088824458186366861e+00
1.350314037869872197e-03 1.348356941563975511e+02 3.351054190389750609e+00
2.462092401494625667e-03 9.834051790791451708e+01 2.119388025492161098e+00
4.489251258218603276e-03 4.393882967363836656e+01 1.049140592283443585e+00
8.185467307069028281e-03 1.367012266638958451e+01 4.333720229381052280e-01
1.492495545051829124e-02 3.322908289545443594e+00 1.582337280735925389e-01
2.721338768375308748e-02 8.719521558203745526e-01 6.002766195047706810e-02
4.961947603002898194e-02 2.833026574031815570e-01 2.533936000639391839e-02
9.047357242349293727e-02 2.883759610836039711e-01 1.893280938619110523e-02
1.649648074098020722e-01 2.126944211853392663e-01 1.204145041994186989e-02
3.007882518043095699e-01 7.888862651943526205e-02 5.430917020889425122e-03
5.484416576121015074e-01 6.377093188892887787e-02 3.616117792691309583e-03
