# bin_edges hist err
3.913745601980384264e-05 3.068597466233874727e+01 1.771655573164731123e+01
7.109709432312423570e-05 5.067595216960128113e+01 1.689198405653376156e+01
1.291549665014882751e-04 9.918594311344607206e+01 1.753376324347521376e+01
2.346228848142262321e-04 6.654347806438087787e+01 1.065548429021862376e+01
4.262158829015320742e-04 2.629902583380685854e+01 4.970048719965430628e+00
7.742636826811269846e-04 9.306682030700667241e+00 2.193605991418476897e+00
1.406527242105236331e-03 3.073879703252876538e+01 2.957842123549291991e+00
9.182542835656282154e-02 1.835398586270854171e+00 8.945185372125478984e-02
1.668100537200055689e-01 2.656664170588621143e+00 7.984778040428996970e-02
3.030271082866393129e-01 5.178641478651027086e-01 2.615608933491479077e-02
5.504789807854967298e-01 6.545050904895876043e-01 2.181683634965292037e-02
