# atom_type event_id atom_id barrier
2.000000000000000000e+00 2.267750000000000000e+05 2.570000000000000000e+02 6.211570800000000281e-01
1.000000000000000000e+00 8.915310000000000000e+05 1.000000000000000000e+00 4.067084000000000255e-01
2.000000000000000000e+00 6.281220000000000000e+05 2.570000000000000000e+02 6.294456400000000285e-01
1.000000000000000000e+00 4.314280000000000000e+05 1.240000000000000000e+02 2.540249919999999939e+00
1.000000000000000000e+00 8.915320000000000000e+05 1.000000000000000000e+00 4.007071500000000119e-01
1.000000000000000000e+00 1.216065000000000000e+06 1.000000000000000000e+00 3.815279100000000256e-01
1.000000000000000000e+00 1.216358000000000000e+06 1.000000000000000000e+00 2.506803999999999810e+00
1.000000000000000000e+00 1.055227000000000000e+06 1.240000000000000000e+02 3.817390700000000137e-01
1.000000000000000000e+00 6.044860000000000000e+05 1.000000000000000000e+00 2.507606800000000025e+00
2.000000000000000000e+00 2.267760000000000000e+05 2.570000000000000000e+02 6.150081899999999546e-01
2.000000000000000000e+00 2.267770000000000000e+05 2.570000000000000000e+02 6.193468300000000148e-01
1.000000000000000000e+00 4.314290000000000000e+05 1.240000000000000000e+02 2.538985900000000129e+00
1.000000000000000000e+00 6.044870000000000000e+05 1.000000000000000000e+00 2.507710939999999944e+00
1.000000000000000000e+00 6.044880000000000000e+05 7.300000000000000000e+01 2.507671399999999995e+00
2.000000000000000000e+00 6.281230000000000000e+05 2.570000000000000000e+02 6.278208400000000466e-01
2.000000000000000000e+00 2.267780000000000000e+05 2.570000000000000000e+02 6.150419799999999881e-01
1.000000000000000000e+00 4.314300000000000000e+05 7.300000000000000000e+01 2.538690939999999951e+00
2.000000000000000000e+00 6.281240000000000000e+05 2.570000000000000000e+02 6.282258800000000143e-01
1.000000000000000000e+00 6.044890000000000000e+05 1.160000000000000000e+02 2.507729359999999907e+00
1.000000000000000000e+00 6.044900000000000000e+05 7.300000000000000000e+01 2.507614269999999923e+00
1.000000000000000000e+00 4.314310000000000000e+05 1.280000000000000000e+02 2.538477920000000054e+00
1.000000000000000000e+00 1.055228000000000000e+06 5.100000000000000000e+01 3.817850099999999802e-01
1.000000000000000000e+00 6.044910000000000000e+05 1.000000000000000000e+00 2.507637299999999847e+00
1.000000000000000000e+00 6.044920000000000000e+05 5.600000000000000000e+01 2.507770470000000085e+00
1.000000000000000000e+00 6.044930000000000000e+05 6.100000000000000000e+01 2.507774500000000018e+00
2.000000000000000000e+00 6.281250000000000000e+05 2.570000000000000000e+02 6.274387000000000159e-01
2.000000000000000000e+00 6.281260000000000000e+05 2.570000000000000000e+02 6.282661299999999782e-01
1.000000000000000000e+00 4.314320000000000000e+05 1.890000000000000000e+02 2.538353160000000219e+00
2.000000000000000000e+00 2.267790000000000000e+05 2.570000000000000000e+02 6.193902199999999914e-01
2.000000000000000000e+00 2.267800000000000000e+05 2.570000000000000000e+02 6.193546100000000276e-01
1.000000000000000000e+00 6.044940000000000000e+05 5.700000000000000000e+01 2.507692270000000168e+00
1.000000000000000000e+00 4.314330000000000000e+05 1.410000000000000000e+02 2.538173860000000115e+00
2.000000000000000000e+00 6.281270000000000000e+05 2.570000000000000000e+02 6.274246599999999674e-01
1.000000000000000000e+00 4.314340000000000000e+05 2.050000000000000000e+02 2.538875510000000002e+00
1.000000000000000000e+00 4.314350000000000000e+05 7.300000000000000000e+01 2.538155399999999950e+00
2.000000000000000000e+00 6.281280000000000000e+05 2.570000000000000000e+02 6.274055200000000498e-01
