# bin_edges hist err
1.816599788375328615e-05 2.267443992602699510e+01 9.256801337026082876e+00
5.994842503189408905e-05 8.016131623270240425e+00 3.029812964561937605e+00
1.089022962263730567e-04 2.521549694754401383e+00 1.260774847377200691e+00
1.978318882784164360e-04 3.123135238428865534e+00 1.041045079476288437e+00
3.593813663804625697e-04 7.449954645924218966e+00 1.192947483383476781e+00
6.528521141127847493e-04 1.230313032115965122e+01 1.137424800555304039e+00
1.185971012337669371e-03 1.273483094637508550e+01 8.585821272538721738e-01
2.154434690031882104e-03 4.429207680078295795e+00 3.756804921495917049e-01
3.913745601980383668e-03 5.262271358453525227e-01 9.607549089127831454e-02
7.109709432312431160e-03 2.964361068745302585e+00 1.691850224184331120e-01
1.291549665014882740e-02 3.880219790411322811e-01 4.541453756428705940e-02
2.346228848142262527e-02 8.777997679928808625e-03 5.067979323452808174e-03
4.262158829015320893e-02 1.021184479687025082e+00 4.055641670814263272e-02
7.742636826811269413e-02 1.658048748012294071e-01 1.212485327279904171e-02
1.406527242105236331e-01 1.599946197057327213e+00 2.794479344389188408e-02
2.555097090352507205e-01 1.773295473559235003e+00 2.182775837873081326e-02
4.641588833612772524e-01 8.807642461632243513e-01 1.141349869805740117e-02
9.182542835656281710e+00 1.712052573274517415e-03 1.131356185376801611e-04
