# bin_edges hist err
1.951293422635962165e-05 9.029013817066029901e+00 3.412646449160392947e+00
3.534981105030109394e-05 4.271978043122126145e+00 1.744027733003767011e+00
6.404004271197282383e-05 7.860374553183991253e+00 1.757633182952893947e+00
1.160155301739971450e-04 5.423613560217461327e+00 1.084722712043492354e+00
2.101748011332486995e-04 5.628362632432525103e+00 8.209810675268377489e-01
3.807546021222371819e-04 5.486530392925012656e+00 6.022249484903590133e-01
6.897785379387658469e-04 7.370662921152249858e+00 5.185980334357324084e-01
1.249609141291986841e-03 4.370693967021958670e+00 2.967020395041269909e-01
2.263803409521446697e-03 1.923411692025504660e+00 1.462342830252534032e-01
4.101127070551300463e-03 5.222653250595795882e+00 1.790302476789059904e-01
7.429639507594949614e-03 4.844323684163291954e-01 4.051026974769666306e-02
1.345960324155364221e-02 1.178075568956140767e-01 1.484235705285177551e-02
1.449740670372631490e-01 1.568044792797747444e+00 1.649933726632958966e-02
2.626363527653329810e-01 2.163021420548982388e+00 1.439744472746840032e-02
4.757944314009414088e-01 8.135829504539713319e-01 6.560299564930307734e-03
9.284145445194743829e+00 3.551356071849847665e-04 3.102834206623020132e-05
